"Name.of.Covered.Entity","State","Covered.Entity.Type","Individuals.Affected","Breach.Submission.Date","Type.of.Breach","Location.of.Breached.Information"
"Harris County","TX","Health Plan",21000,2013-07-16,"Unauthorized Access/Disclosure","Desktop Computer"
"Illinois Department of Healthcare and Family Services","IL","Healthcare Provider",3133,2013-07-15,"Hacking/IT Incident","Paper/Films"
"Long Beach Memorial Medical Center","CA","Healthcare Provider",2864,2013-07-11,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Medtronic, Inc.","MN","Healthcare Provider",2764,2013-07-10,"Theft","Paper/Films"
"Children's Medical Center of Dallas","TX","Healthcare Provider",2462,2013-07-10,"Theft","Laptop"
"Sutter Health East Bay Region","CA","Healthcare Provider",4479,2013-07-05,"Unauthorized Access/Disclosure","Email"
"MED-EL Coproration","NC","Healthcare Provider",609,2013-07-05,"Other","Email"
"Samaritan Regional Health System","OH","Healthcare Provider",2203,2013-07-03,"Theft","Paper/Films"
"South Florida Neurology Associates, P.A.","FL","Healthcare Provider",900,2013-07-03,"Theft","Laptop"
"Health Net, Inc.","CA","Health Plan",8331,2013-07-02,"Other","Paper/Films"
"Lone Star Circle of Care","TX","Healthcare Provider",1955,2013-06-28,"Theft","Laptop"
"James A. Fosnaugh","NE","Healthcare Provider",2125,2013-06-26,"Loss","Other Portable Electronic Device"
"Iowa Department of Human Services","IA","Healthcare Provider",7335,2013-06-26,"Loss, Unknown","Other"
"Jacksonville Spine Center","FL","Healthcare Provider",5200,2013-06-24,"Theft","Paper/Films"
"Gulf Breeze Family Eyecare, Inc","FL","Healthcare Provider",9626,2013-06-17,"Theft, Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record, Email, Network Server, Paper/Films"
"Union Security Insurance Company","MO","Health Plan",1127,2013-06-17,"Improper Disposal","Email"
"Lincoln County Health and Human Services/Lincoln Community Health Center","OR","Healthcare Provider",959,2013-06-14,"Unauthorized Access/Disclosure","Paper/Films"
"Fayetteville VAMC","NC","Healthcare Provider",1093,2013-06-14,"Theft","Paper/Films"
"Lucile Packard Childrens Hospital, Privacy Manager Breach","CA","Healthcare Provider",12900,2013-06-13,"Theft","Laptop"
"Palm Beach County Health Department","FL","Healthcare Provider",877,2013-06-11,"Unauthorized Access/Disclosure","Desktop Computer"
"UMASSAmherst","MA","Healthcare Provider",1670,2013-06-05,"Hacking/IT Incident","Desktop Computer"
"Community Support Services, Inc.","OH","Healthcare Provider",1167,2013-06-03,"Theft","Email"
"University of Florida","FL","Healthcare Provider",5875,2013-05-30,"Theft, Unauthorized Access/Disclosure","Electronic Medical Record"
"Bon Secours Mary Immaculate Hospital","VA","Healthcare Provider",5764,2013-05-29,"Theft","Electronic Medical Record"
"Sonoma Valley Hospital","CA","Healthcare Provider",1386,2013-05-24,"Other","Other"
"Independence Care System","NY","Healthcare Provider",2434,2013-05-24,"Theft","Laptop"
"Health Resources of Arkansas","AR","Healthcare Provider",1900,2013-05-23,"Theft, Unauthorized Access/Disclosure","Other"
"Erskine Family Dentistry","IN","Healthcare Provider",2723,2013-05-21,"Hacking/IT Incident","Desktop Computer"
"Lutheran Social Services of South Central Pennsylvania","PA","Healthcare Provider",7803,2013-05-20,"Hacking/IT Incident","Network Server"
"City of Norwood","OH","Healthcare Provider",9577,2013-05-20,"Loss","Laptop"
"Dent Neurologic Institute","NY","Healthcare Provider",10000,2013-05-14,"Unauthorized Access/Disclosure","Email"
"Indiana University Health Arnett","IN","Healthcare Provider",10350,2013-05-13,"Theft","Laptop"
"Regional Medical Center","TN","Healthcare Provider",1180,2013-05-07,"Unauthorized Access/Disclosure","Email"
"Seattle - King County Department of Public Health","WA","Healthcare Provider",750,2013-05-07,"Improper Disposal","Paper/Films"
"University of Rochester Medical Center & Affiliates","NY","Healthcare Provider",537,2013-05-06,"Loss","Other Portable Electronic Device"
"Wood County Hospital","OH","Healthcare Provider",2500,2013-05-03,"Theft","Other"
"Arizona Counseling & Treatment Services, LLC","AZ","Healthcare Provider",3800,2013-05-01,"Theft","Other Portable Electronic Device"
"Laboratory Corporation of America","NC","Healthcare Provider",1580,2013-05-01,"Theft","Desktop Computer"
"Raleigh Orthopaedic Clinic","NC","Healthcare Provider",17300,2013-04-30,"Improper Disposal, Theft, Unauthorized Access/Disclosure","Paper/Films"
"Valley Mental Health","UT","Healthcare Provider",700,2013-04-26,"Theft","Desktop Computer"
"IHC Health Services, Inc. dba Intermountain Life Flight","UT","Healthcare Provider",857,2013-04-26,"Unauthorized Access/Disclosure","Other"
"Hope Hospice","TX","Healthcare Provider",818,2013-04-25,"Other","Email"
"The Guidance Center of Westchester","NY","Healthcare Provider",1416,2013-04-17,"Theft","Desktop Computer"
"Schneck Medical Center","IN","Healthcare Provider",3131,2013-04-12,"Unauthorized Access/Disclosure","Other"
"Oregon Health & Science University","OR","Healthcare Provider",1076,2013-04-11,"Theft","Laptop"
"John J. Pershing VA Medical Center","MO","Healthcare Provider",589,2013-04-11,"Theft","Paper/Films"
"Wm. Jennings Bryan Dorn VAMC","SC","Healthcare Provider",7405,2013-04-10,"Theft","Laptop"
"Texas Health Care, P.L.L.C.","TX","Healthcare Provider",554,2013-04-05,"Theft","Paper/Films"
"Hospice and Palliative Care Center of Alamance Caswell","NC","Healthcare Provider",5370,2013-04-04,"Theft, Unauthorized Access/Disclosure","Laptop, Paper/Films"
"Kmart Corporation","IL","Healthcare Provider",12542,2013-04-03,"Theft","Electronic Medical Record"
"University of Florida","FL","Healthcare Provider",14519,2013-04-03,"Other, Theft, Unauthorized Access/Disclosure","Network Server"
"Shands Jacksonville Medical Center, Inc.","FL","Healthcare Provider",1025,2013-04-02,"Theft","Electronic Medical Record"
"Rite Aid #10217","RI","Healthcare Provider",2082,2013-03-29,"Other, Unknown","Paper/Films"
"Oregon Health & Science University","OR","Healthcare Provider",1114,2013-03-26,"Theft","Laptop"
"Texas Tech Unversity Health Sciences Center","TX","Healthcare Provider",697,2013-03-22,"Unauthorized Access/Disclosure","Paper/Films"
"Granger Medical Clinic","UT","Healthcare Provider",2600,2013-03-22,"Loss, Other, Theft","Paper/Films"
"University of Mississippi Medical Center","MS","Healthcare Provider",500,2013-03-21,"Loss","Laptop"
"HealthCare for Women, Inc.","MA","Healthcare Provider",8727,2013-03-20,"Hacking/IT Incident","Network Server"
"M&C Children's Clinic PA","TX","Healthcare Provider",6300,2013-03-19,"Hacking/IT Incident","Network Server"
"Thomas L. Davis, Jr. DDS","OR","Healthcare Provider",3269,2013-03-15,"Theft","Desktop Computer, Electronic Medical Record"
"Mount Sinai Medical Center","FL","Healthcare Provider",628,2013-03-15,"Theft","Desktop Computer, Paper/Films"
"United HomeCare Services, Inc.","FL","Healthcare Provider",12299,2013-03-09,"Theft","Laptop"
"University of Connecticut Health Center","CT","Healthcare Provider",1382,2013-03-08,"Unauthorized Access/Disclosure","Network Server"
"Sports Rehabilitation Consultants","OH","Healthcare Provider",1200,2013-03-06,"Theft","Desktop Computer"
"Maine Medical Center","ME","Healthcare Provider",1920,2013-03-04,"Other","Email"
"Lancaster General Medical Group","PA","Healthcare Provider",527,2013-03-04,"Theft","Paper/Films"
"South Miami Hospital","FL","Healthcare Provider",834,2013-03-02,"Unauthorized Access/Disclosure","Electronic Medical Record"
"WOMENS HEALTH ENTERPRISE, INC.","GA","Healthcare Provider",3000,2013-02-27,"Theft","Laptop"
"County of San Bernardino, Department of Behavioral Health","CA","Health Plan",686,2013-02-25,"Theft","Paper/Films"
"Crescent Health Inc. - a Walgreens Company","CA","Healthcare Provider",109000,2013-02-22,"Theft","Desktop Computer"
"Arizona Oncology","AZ","Healthcare Provider",501,2013-02-21,"Theft","Laptop"
"Stronghold Counseling Services, Inc.","SD","Healthcare Provider",8500,2013-02-21,"Theft","Desktop Computer"
"Catoctin Dental/Richard B. Love, D.D.S., P.A.","MD","Healthcare Provider",6400,2013-02-20,"Hacking/IT Incident","Network Server"
"Terrell County Health Department","GA","Healthcare Provider",18000,2013-02-18,"Unauthorized Access/Disclosure","Network Server"
"ABQ HealthPartners","NM","Healthcare Provider",778,2013-02-17,"Theft","Laptop"
"Heyman HospiceCare at Floyd","GA","Healthcare Provider",1819,2013-02-15,"Theft","Laptop"
"HomeCare of Mid-Missouri, Inc.","MO","Healthcare Provider",4027,2013-02-14,"Theft","Laptop"
"Kindred Transitional Care and Rehabilitation - Marl","MA","Healthcare Provider",716,2013-02-14,"Theft","Other Portable Electronic Device"
"Jackson Health System","FL","Healthcare Provider",566,2013-02-13,"Other","Paper/Films"
"Froedtert Health","WI","Healthcare Provider",43549,2013-02-12,"Hacking/IT Incident","Network Server"
"Center for Pain Management, LLC","MD","Healthcare Provider",5822,2013-02-12,"Theft","Laptop"
"West Georgia Ambulance","GA","Healthcare Provider",500,2013-02-11,"Loss","Laptop"
"Intervention Services, Inc.","FL","Healthcare Provider",1200,2013-02-07,"Theft","Laptop"
"Community Services NW","AL","Healthcare Provider",2400,2013-02-02,"Theft","Desktop Computer"
"Western Wisconsin Medical Association, S.C. - River Falls Medical Clinics","WI","Healthcare Provider",2400,2013-01-25,"Theft","Paper/Films"
"The University of Texas MD Anderson Cancer Center","TX","Healthcare Provider",29021,2013-01-24,"Theft","Laptop"
"Stanford School of Medicine & LP Children Hosp, Privacy Manager Breach","CA","Healthcare Provider",56500,2013-01-23,"Theft","Laptop"
"Baptist Health System","TX","Healthcare Provider",678,2013-01-22,"Unauthorized Access/Disclosure","Electronic Medical Record"
"WAYNE MEMORIAL HOSPITAL","PA","Healthcare Provider",1184,2013-01-18,"Loss","Other"
"Riderwood Village","MD","Healthcare Provider",3230,2013-01-17,"Theft","Laptop"
"California Department of Developmental Services, Privacy Manager Breach","CA","Healthcare Provider",1312,2013-01-15,"Hacking/IT Incident, Improper Disposal, Loss, Other, Theft, Unauthorized Access/Disclosure, Unknown","Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server, Other Portable Electronic Device, Paper/Films"
"Washington University School of Medicine","MO","Healthcare Provider",1105,2013-01-11,"Theft","Laptop"
"Lee D. Pollan, DMD, PC","NY","Healthcare Provider",19178,2013-01-11,"Theft","Laptop"
"Pousson Family Dentistry","LA","Healthcare Provider",1400,2013-01-10,"Theft","Laptop"
"SilverScript Insurance Company","AZ","Health Plan",852,2013-01-08,"Unauthorized Access/Disclosure","Paper/Films"
"University of Nevada School of Medicine","NV","Healthcare Provider",1483,2013-01-08,"Improper Disposal","Paper/Films"
"Calvin Schuster,MD","CA","Healthcare Provider",532,2013-01-04,"Theft","Desktop Computer"
"Group Health Incorporated","NY","Health Plan",1771,2013-01-02,"Theft","Paper/Films"
"St. Mark's Medical Center","TX","Healthcare Provider",2988,2012-12-31,"Hacking/IT Incident","Desktop Computer"
"Sovereign Medical Group, LLC","NJ","Healthcare Provider",27800,2012-12-27,"Hacking/IT Incident, Theft","Network Server"
"Gibson General Hospital","IN","Healthcare Provider",28893,2012-12-26,"Theft","Laptop"
"Richard Switzer MD PC","MI","Healthcare Provider",4100,2012-12-23,"Other","Laptop"
"Calif. Dept. of Health Care Services (DHCS)","CA","Health Plan",2643,2012-12-23,"Unauthorized Access/Disclosure","Other"
"Center for Orthopedic Research and Education, Inc.","AZ","Healthcare Provider",35488,2012-12-21,"Theft","Paper/Films"
"Westerville Dental Center","OH","Healthcare Provider",850,2012-12-20,"Theft","Laptop, Network Server"
"Health Advantage","AR","Health Plan",2863,2012-12-20,"Other","Paper/Films"
"Columbia University Medical Center and NewYork-Presbyterian Hospital","NY","Healthcare Provider",4929,2012-12-14,"Theft","Desktop Computer"
"North Lake Tahoe Fire Protection District, Privacy Manager Breach","NV","Healthcare Provider",752,2012-12-13,"Theft","Desktop Computer"
"CCS Medical, Inc.","TX","Healthcare Provider",6601,2012-12-10,"Unauthorized Access/Disclosure","Network Server, Other"
"Coastal Behavioral Healthcare, Inc.","FL","Healthcare Provider",4907,2012-12-07,"Theft","Paper/Films"
"Carolinas Medical Center - Randolph","NC","Healthcare Provider",5600,2012-12-07,"Hacking/IT Incident","Email"
"University of Virginia Medical Center","VA","Healthcare Provider",1846,2012-11-30,"Loss","Other Portable Electronic Device"
"Landmark Medical Center","RI","Healthcare Provider",683,2012-11-30,"Theft","Laptop"
"County of San Bernardino Department of Public Heatlh","CA","Healthcare Provider",1370,2012-11-29,"Unauthorized Access/Disclosure","Paper/Films"
"Vidant Pungo Hospital","NC","Healthcare Provider",1100,2012-11-29,"Improper Disposal","Paper/Films"
"Cuyahoga County Board of Developmental Disabilities","OH","Healthcare Provider",613,2012-11-29,"Theft","Laptop"
"Advanced Data Processing, Inc.","FL","Healthcare Clearing House",10000,2012-11-29,"Theft","Desktop Computer"
"Robbins Eye Center PC","CT","Healthcare Provider",1749,2012-11-28,"Theft","Desktop Computer"
"James M. McGee, D.M.D., P.C.","GA","Healthcare Provider",1306,2012-11-27,"Theft","Paper/Films"
"Brigham and Women's Hospital","MA","Healthcare Provider",615,2012-11-26,"Theft","Desktop Computer"
"Original Medicine Acupuncture & Wellness, LLC","NM","Healthcare Provider",540,2012-11-21,"Theft","Laptop"
"Soundental Associates, PC","CT","Healthcare Provider",14511,2012-11-21,"Theft","Other Portable Electronic Device"
"Original Medicine Acupuncture & Wellness, LLC","NM","Healthcare Provider",540,2012-11-21,"Theft","Laptop"
"Hawaii State Department of Health, Adult Mental Health Division","HI","Healthcare Provider",674,2012-11-20,"Hacking/IT Incident","Desktop Computer"
"L.A. Care Health Plan","CA","Health Plan",18000,2012-11-17,"Other","Other"
"CHRISTUS St. John Hospital","TX","Healthcare Provider",5748,2012-11-16,"Loss","Other Portable Electronic Device"
"Maryville Academy","IL","Healthcare Provider",3897,2012-11-08,"Loss","Other Portable Electronic Device"
"Memorial Health System","CO","Healthcare Provider",6262,2012-11-07,"Loss","Paper/Films"
"Women and Infant's Hospital ","RI","Healthcare Provider",14004,2012-11-05,"Loss","Other Portable Electronic Device"
"WYATT DENTAL GROUP, LLC","LA","Healthcare Provider",10271,2012-11-05,"Theft, Unauthorized Access/Disclosure","Electronic Medical Record"
"Miami Beach Healthcare Group Ltd. dba Aventura Hospital and Medical Center","FL","Healthcare Provider",2560,2012-11-05,"Theft","Electronic Medical Record"
"Indiana University","IN","Health Plan",3266,2012-11-05,"Theft","Laptop"
"Union County Board of Developmental Disabilities","OH","Health Plan",1420,2012-11-05,"Theft","Laptop"
"Henry Ford Health System","MI","Healthcare Provider",2777,2012-11-05,"Loss","Other, Other Portable Electronic Device"
"Waipahu Aloha Clubhouse, Privacy Manager Breach","HI","Healthcare Provider",674,2012-10-31,"Unauthorized Access/Disclosure","Desktop Computer"
"Memorial Hospital","OH","Healthcare Provider",500,2012-10-29,"Improper Disposal","Paper/Films"
"CVS Caremark","RI","Healthcare Provider",955,2012-10-26,"Theft","Paper/Films"
"SwedishAmerican Health System","IL","Healthcare Provider",1500,2012-10-26,"Theft","Paper/Films"
"Health Care Service Corporation","IL","Health Plan",501,2012-10-26,"Theft","Paper/Films"
"Logan Community Resources, Inc.","IN","Healthcare Provider",2900,2012-10-23,"Hacking/IT Incident","Network Server"
"First Step Counseling, Inc.","NJ","Healthcare Provider",638,2012-10-23,"Theft","Paper/Films"
"L.A. Care Health Plan","CA","Health Plan",18000,2012-10-22,"Other","Paper/Films"
"Philip P Corneliuson, DDS, INC.","CA","Healthcare Provider",980,2012-10-22,"Theft","Desktop Computer"
"Coastal home Respiratory, LLP","GA","Healthcare Provider",3440,2012-10-18,"Theft","Other"
"Alere Home Monitoring, Inc","CA","Healthcare Provider",116506,2012-10-18,"Theft","Laptop"
"Blount Memorial Hospital, Inc","TN","Healthcare Provider",27799,2012-10-17,"Theft","Laptop"
"Gulf Coast Health Care Services Inc","FL","Healthcare Provider",13000,2012-10-15,"Hacking/IT Incident, Theft, Unauthorized Access/Disclosure","Network Server"
"Alexander J. Tikhtman, M.D.","KY","Healthcare Provider",2376,2012-10-12,"Theft","Other Portable Electronic Device"
"Apria Healthcare, Inc.","CA","Healthcare Provider",65700,2012-10-10,"Theft","Laptop"
"Cabinet for Health and Family Services, Department for Community Based Services","KY","Healthcare Provider",2500,2012-09-19,"Unauthorized Access/Disclosure","Email"
"St. Therese Medical Group, Inc","CA","Healthcare Provider",3031,2012-09-17,"Theft","Desktop Computer"
"Cox Health","MO","Healthcare Provider",2435,2012-09-17,"Theft","Laptop"
"The Feinstein Institute for Medical Reserch","NY","Healthcare Provider",13000,2012-09-14,"Theft","Laptop"
"BHcare, Inc","CT","Healthcare Provider",5827,2012-09-14,"Theft","Laptop, Other Portable Electronic Device"
"Valley Plastic Surgery, P.C.","VA","Healthcare Provider",4873,2012-09-13,"Theft","Other Portable Electronic Device"
"University of New Mexico Health Sciences Center","NM","Healthcare Provider",2365,2012-09-12,"Hacking/IT Incident","Network Server"
"University of Miami","FL","Healthcare Provider",64846,2012-09-07,"Other, Unauthorized Access/Disclosure","Paper/Films"
"Charlotte Clark-Neitzel, MD","WA","Healthcare Provider",942,2012-09-07,"Theft","Laptop"
"Sierra Plastic Surgery","NV","Healthcare Provider",800,2012-09-05,"Hacking/IT Incident, Unauthorized Access/Disclosure","Network Server"
"Tricounty Behavioral Health Clinic","GA","Healthcare Provider",4000,2012-08-31,"Theft","Laptop"
"Cancer Care Group, P.C.","IN","Healthcare Provider",55000,2012-08-28,"Theft","Other Portable Electronic Device"
"LANA MEDICAL CARE","FL","Healthcare Provider",500,2012-08-28,"Theft","Laptop"
"Central States Southeast and Siouthwest Areas Health & Welfare Fund","IL","Health Plan",754,2012-08-21,"Other, Unauthorized Access/Disclosure","Paper/Films"
"The University of Texas MD Anderson Cancer Center","TX","Healthcare Provider",2264,2012-08-17,"Loss","Other Portable Electronic Device"
"Liberty Resources, Inc.","PA","Healthcare Provider",3183,2012-08-17,"Theft","Laptop"
"Memorial Healthcare System","FL","Healthcare Provider",105646,2012-08-16,"Theft","Electronic Medical Record"
"Apria Healthcare, Inc., Privacy Manager Breach","CA","Healthcare Provider",11000,2012-08-15,"Theft","Laptop"
"Heartland Pathology Associates, P.A.","FL","Healthcare Provider",1175,2012-08-15,"Theft","Other Portable Electronic Device"
"TEMPLE COMMUNITY HOSPITAL","CA","Healthcare Provider",603,2012-08-15,"Theft","Desktop Computer"
"Harris County Hospital District","TX","Healthcare Provider",2875,2012-08-03,"Theft","Electronic Medical Record, Paper/Films"
"Stanford Hospital & Clinics and School of Medicine, Privacy Manager Breach","CA","Healthcare Provider",2300,2012-08-03,"Theft","Desktop Computer"
"Oregon Health & Science University","OR","Healthcare Provider",702,2012-07-31,"Theft","Other"
"VNA Health Care Hartford Hospital","CT","Healthcare Provider",7461,2012-07-31,"Theft","Laptop"
"Walgreen Co.","IL","Healthcare Provider",1240,2012-07-30,"Theft","Paper/Films"
"Northwestern Memorial Hospital","IL","Healthcare Provider",4211,2012-07-27,"Theft","Laptop, Other Portable Electronic Device"
"Jeffrey Paul Edelstein M.D.","AZ","Healthcare Provider",4800,2012-07-27,"Theft","Network Server"
"Kindred Healthcare Inc d/b/a Kindred Transitional Care and Rehabilitation-Sellersburg","IN","Healthcare Provider",1504,2012-07-25,"Theft","Other"
"The Surgeons of Lake County, LLC","IL","Healthcare Provider",7067,2012-07-25,"Hacking/IT Incident","Network Server"
"NYU School of Medicine Faculty Group Practice","NY","Healthcare Provider",8488,2012-07-23,"Theft","Desktop Computer"
"Beth Israel Deaconess Medical Center","MA","Healthcare Provider",3900,2012-07-20,"Theft","Laptop"
"Pamlico Medical Equipment LLC","NC","Healthcare Provider",2917,2012-07-17,"Loss","Other Portable Electronic Device"
"Molalla Family Dental","OR","Healthcare Provider",4354,2012-07-16,"Hacking/IT Incident, Other, Unauthorized Access/Disclosure","Network Server"
"Hamner Square Dental, Privacy Manager Breach","CA","Healthcare Provider",1112,2012-07-16,"Loss, Theft, Unauthorized Access/Disclosure, Unknown","Other Portable Electronic Device"
"Visiting Nurse Services of Iowa","IA","Healthcare Provider",1298,2012-07-16,"Theft","Paper/Films"
"SwedishAmerican Health System","IL","Healthcare Provider",1500,2012-07-12,"Theft","Paper/Films"
"Health Texas Provider Network - Cardiovascular Consultants of North Texas","TX","Healthcare Provider",2462,2012-07-05,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Sharon L. Rogers, Ph.D., ABPP","TX","Healthcare Provider",585,2012-07-03,"Theft","Laptop"
"Bruce G. Peller, DMD, PA","NC","Healthcare Provider",9953,2012-06-25,"Unauthorized Access/Disclosure","Desktop Computer"
"Karen Kietzman","MT","Healthcare Provider",708,2012-06-22,"Theft","Laptop, Other Portable Electronic Device"
"Wolf & Yun","KY","Healthcare Provider",824,2012-06-22,"Theft","Laptop"
"University of Kentucky HealthCare","KY","Healthcare Provider",4490,2012-06-19,"Theft","Laptop"
"Gessler Clinic, P.A.","FL","Healthcare Provider",1409,2012-06-14,"Theft","Paper/Films"
"Memorial Sloan-Kettering Cancer Center","NY","Healthcare Provider",568,2012-06-08,"Theft","Email, Other"
"Robert Witham, MD, FACP","OR","Healthcare Provider",11136,2012-06-06,"Theft","Desktop Computer"
"Metcare of Florida, Inc.","FL","Healthcare Provider",2557,2012-06-04,"Theft","Other Portable Electronic Device"
"Charlie Norwood VA Medical Center","GA","Healthcare Provider",824,2012-06-04,"Loss","Other Portable Electronic Device"
"Volunteer State Health Plan, Inc. ","TN","Health Plan",1102,2012-05-31,"Loss","Paper/Films"
"Lutheran Community Services Northwest","WA","Healthcare Provider",756,2012-05-29,"Theft","Desktop Computer, Other Portable Electronic Device"
"Titus Regional Medical Center","TX","Healthcare Provider",500,2012-05-26,"Theft","Other"
"Titus Regional Medical Center","TX","Healthcare Provider",5700,2012-05-26,"Loss","Laptop"
"Independence Physical Therapy","CT","Healthcare Provider",925,2012-05-25,"Theft","Desktop Computer"
"Phoebe Putney Memorial Hospital, Inc. ","GA","Healthcare Provider",12937,2012-05-24,"Theft","Electronic Medical Record, Paper/Films"
"Physician's Automated Laboratory","CA","Healthcare Provider",745,2012-05-23,"Theft","Paper/Films"
"Children's Hospital Boston","MA","Healthcare Provider",2159,2012-05-22,"Theft","Laptop"
"Ameritas Life Insurance Corp. ","NE","Health Plan",3000,2012-05-21,"Theft","Laptop"
"Luz Colon, DPM  Podiatry ","FL","Healthcare Provider",1137,2012-05-19,"Loss, Theft","Laptop"
"Duke University Health System","NC","Healthcare Provider",591,2012-05-18,"Unauthorized Access/Disclosure","Other"
"West Dermatology","CA","Healthcare Provider",1900,2012-05-18,"Theft","Other"
"UnitedHealth Group health plan single affiliated covered entity","MN","Health Plan",19100,2012-05-18,"Unauthorized Access/Disclosure","Other"
"Our Lady of the Lake Regional Medical Center","LA","Healthcare Provider",17000,2012-05-18,"Loss, Theft","Laptop"
"St. Mary Medical Center","CA","Healthcare Provider",3900,2012-05-14,"Loss","Other Portable Electronic Device"
"Family Health Services Minnesota PA","MN","Healthcare Provider",4000,2012-05-14,"Theft","Laptop"
"Hogan Services Inc. Health Care Premium Plan","MO","Health Plan",1134,2012-05-11,"Unauthorized Access/Disclosure","Email"
"Iowa Department of Human Services","IA","Health Plan",3000,2012-05-11,"Improper Disposal","Paper/Films"
"Rite Aid Store 1343","WV","Healthcare Provider",2905,2012-05-10,"Theft","Paper/Films"
"University of Houston for UH College of Optometry","TX","Healthcare Provider",7000,2012-05-08,"Hacking/IT Incident, Unauthorized Access/Disclosure","Network Server"
"Baptist Health System","AL","Healthcare Provider",1655,2012-05-04,"Improper Disposal","Paper/Films"
"Stephen Haggard, DPM Podiatry ","WA","Healthcare Provider",1597,2012-05-04,"Theft","Network Server"
"Oakland Vision Services, PC","MI","Healthcare Provider",3000,2012-05-03,"Hacking/IT Incident","Network Server"
"IntraCare North Hospital","TX","Healthcare Provider",750,2012-05-03,"Theft","Paper/Films"
"Safe Ride Services, Inc","AZ","Healthcare Provider",42000,2012-05-01,"Hacking/IT Incident, Unauthorized Access/Disclosure","Network Server"
"Thomas Jefferson University Hospitals","PA","Healthcare Provider",590,2012-04-30,"Theft","Paper/Films"
"SHIELDS For Families ","CA","Healthcare Provider",961,2012-04-26,"Theft","Network Server"
"Oregon Health Authority","OR","Healthcare Provider",550,2012-04-26,"Theft","Paper/Films"
"South Carolina Department of Health and Human Services","SC","Health Plan",228435,2012-04-24,"Unauthorized Access/Disclosure","Email"
"TLC Dental Dania, LLC","FL","Healthcare Provider",750,2012-04-23,"Theft","Paper/Films"
"University of Arkansas for Medical Sciences","AR","Healthcare Provider",7121,2012-04-20,"Unauthorized Access/Disclosure","Other"
"Desert AIDS Project","CA","Healthcare Provider",4400,2012-04-20,"Theft","Desktop Computer"
"Emory Healthcare","GA","Healthcare Provider",315000,2012-04-18,"Other, Unknown","Other"
"DRD Management, Inc. D/B/A DRD Knoxville Medical Clinic - Central","TX","Healthcare Provider",1000,2012-04-16,"Improper Disposal","Paper/Films"
"Roy E. Gondo, M.D.","WA","Healthcare Provider",2100,2012-04-13,"Theft","Desktop Computer, Electronic Medical Record"
"Memorial Healthcare System","FL","Health Plan",9497,2012-04-13,"Other","Other"
"Rhinebeck Health Center/Center for Progressive Medicine","NY","Healthcare Provider",6745,2012-04-12,"Theft","Desktop Computer, Network Server"
"IU Medical Group","IN","Healthcare Provider",1000,2012-04-12,"Improper Disposal","Paper/Films"
"Affinity Health Plan","NY","Health Plan",933,2012-04-10,"Unauthorized Access/Disclosure","Email"
"AccentCare Home Health of California, Inc. Medicare # 057564    CA state License # 080000226","CA","Healthcare Provider",1000,2012-04-10,"Unauthorized Access/Disclosure","Email"
"The Neighborhood Christian Clinic","AZ","Healthcare Provider",9565,2012-04-09,"Loss","Other Portable Electronic Device"
"St. Elizabeth's Medical Center","MA","Healthcare Provider",6831,2012-04-06,"Loss","Paper/Films"
"County of Wayne Department of Personnel/Human Resources Benefits Administration Division","MI","Health Plan",1229,2012-04-06,"Unauthorized Access/Disclosure","Email"
"Lake Granbury Medicl Ceter","TX","Healthcare Provider",502,2012-04-04,"Theft","Paper/Films"
"CenterLight Healthcare","NY","Health Plan",642,2012-04-03,"Unauthorized Access/Disclosure","Email"
"St. Joseph's Medical Center","CA","Healthcare Provider",712,2012-03-29,"Theft","Paper/Films"
"Duke University Health System","NC","Healthcare Provider",1370,2012-03-23,"Unauthorized Access/Disclosure","Other"
"Chicago Muscoskeletal Institute","IL","Healthcare Provider",750,2012-03-23,"Unauthorized Access/Disclosure","Network Server"
"Baylor Heart and Vascular Center, LLP","TX","Healthcare Provider",1972,2012-03-16,"Theft","Other Portable Electronic Device"
"Georgia Health Sciences University","GA","Healthcare Provider",513,2012-03-15,"Theft","Laptop"
"Advanced Clinical Research Institute","CA","Health Plan",875,2012-03-14,"Theft","Paper/Films"
"William F. DeLuca Jr., M.D.","NY","Healthcare Provider",577,2012-03-13,"Theft","Laptop"
"Kern Medical Center ","CA","Healthcare Provider",1431,2012-03-12,"Theft","Paper/Films"
"Indiana Internal Medicine Consultants","IN","Healthcare Provider",20000,2012-03-09,"Theft","Laptop"
"Robley Rex VA Medical Center ","KY","Healthcare Provider",1182,2012-03-06,"Other","Paper/Films"
"Anchorage Community Mental Health Services Inc.","AK","Healthcare Provider",2743,2012-03-03,"Unauthorized Access/Disclosure","Desktop Computer"
"Lee Miller Rehabilitation Associates","MD","Healthcare Provider",10480,2012-02-29,"Theft","Network Server"
"CardioNet, Inc.","PA","Healthcare Provider",728,2012-02-27,"Theft","Laptop"
"Ochsner Health System","LA","Healthcare Provider",2088,2012-02-20,"Loss","Other Portable Electronic Device"
"Motion Picture Industry Health Plans (MPI)","CA","Health Plan",703,2012-02-15,"Theft","Other"
"Georgetown University Hospital","DC","Healthcare Provider",1549,2012-02-15,"Unauthorized Access/Disclosure","Paper/Films"
